"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a courier cannot log in using incorrect password.
Expected result: HTTP 404 response and an error message ""Учетная запись не найдена"" in response body.","2127","Should return 404 when password is incorrect","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CourierLoginTest","ru.yandex.practicum.CourierLoginTest","loginCourierWithIncorrectPasswordShouldReturn404"
"Verify that creating a courier without a password fails.
Expected result: HTTP 400 response and an error message ""Недостаточно данных для создания учетной записи"" in response body.","563","Should return 400 when creating a courier without password","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreatingACourierTest","ru.yandex.practicum.CreatingACourierTest","createCourierWithoutPasswordShouldReturn400"
"Verify that creating a courier with an existing login fails.
Expected result: HTTP 409 response and an error message ""Этот логин уже используется. Попробуйте другой."" in response body.","2916","Should return 409 when creating a courier with an already used login","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreatingACourierTest","ru.yandex.practicum.CreatingACourierTest","createCourierWithExistingLoginShouldReturn409"
"Verify that a courier cannot log in using incorrect login.
Expected result: HTTP 404 response and an error message ""Учетная запись не найдена"" in response body.","2153","Should return 404 when login is incorrect","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CourierLoginTest","ru.yandex.practicum.CourierLoginTest","loginCourierWithIncorrectLoginShouldReturn404"
"Verify that an order can be created with black, grey, both colors, or with no color selected.
Expected result: HTTP 201 response and the order tracking number in the response body.","1038","Order creation returns 201 Created with various color combinations","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","createOrderWithVariousColorOptionsShouldReturn201[Test data: scooter color - []]"
"Verify that an order can be created with black, grey, both colors, or with no color selected.
Expected result: HTTP 201 response and the order tracking number in the response body.","1190","Order creation returns 201 Created with various color combinations","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","createOrderWithVariousColorOptionsShouldReturn201[Test data: scooter color - [BLACK]]"
"Verify that a courier cannot log in when the login field is missing.
Expected result: HTTP 400 response and an error message ""Недостаточно данных для входа"" in response body.","2195","Should return 400 when login field is missing","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CourierLoginTest","ru.yandex.practicum.CourierLoginTest","loginCourierWithoutLoginShouldReturn400"
"Verify that creating a courier twice with the same data fails.
Expected result: HTTP 409 response and an error message ""Этот логин уже используется. Попробуйте другой."" in response body.","2489","Should return 409 when trying to create two identical couriers","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreatingACourierTest","ru.yandex.practicum.CreatingACourierTest","createCourierTwiceWithSameDataShouldReturn409"
"Verify that a courier cannot log in when the password field is missing.
Expected result: HTTP 400 response and an error message ""Недостаточно данных для входа"" in response body.","62484","Should return 400 when password field is missing","","2025-09-22","failed","2025-09-22","","ru.yandex.practicum.CourierLoginTest","ru.yandex.practicum.CourierLoginTest","loginCourierWithoutPasswordShouldReturn400"
"Verify that creating a courier without a login fails.
Expected result: HTTP 400 response and an error message ""Недостаточно данных для создания учетной записи"" in response body.","520","Should return 400 when creating a courier without login","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreatingACourierTest","ru.yandex.practicum.CreatingACourierTest","createCourierWithoutLoginShouldReturn400"
"Verify that an order can be created with black, grey, both colors, or with no color selected.
Expected result: HTTP 201 response and the order tracking number in the response body.","1106","Order creation returns 201 Created with various color combinations","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","createOrderWithVariousColorOptionsShouldReturn201[Test data: scooter color - [BLACK, GREY]]"
"Verify that an order can be created with black, grey, both colors, or with no color selected.
Expected result: HTTP 201 response and the order tracking number in the response body.","1092","Order creation returns 201 Created with various color combinations","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","ru.yandex.practicum.CreateOrderWithVariousColorOptionsTest","createOrderWithVariousColorOptionsShouldReturn201[Test data: scooter color - [GREY]]"
"Verify that a courier cannot log in using credentials of a non-existent user.
Expected result: HTTP 404 response and an error message ""Учетная запись не найдена"" in response body.","12699","Should return 404 when logging in as a non-existent user","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CourierLoginTest","ru.yandex.practicum.CourierLoginTest","loginCourierWithNonExistentUserShouldReturn404"
"Verify that a courier can log in using valid credentials.
Expected result: HTTP 200 response and the courier ID in the response body.","2213","Login returns 200 OK with valid login and password","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CourierLoginTest","ru.yandex.practicum.CourierLoginTest","loginCourierWithValidLoginAndPasswordShouldReturn200"
"Verify that a valid request returns a list of orders.
Expected result: HTTP 200 response and a list of orders in the response body.","7909","Getting list of orders returns 200 and contains a list of orders in response body","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.GetOrderListTest","ru.yandex.practicum.GetOrderListTest","getListOfOrdersWithValidRequestShouldReturn200AndOrderList"
"Verify that a courier can be created with valid required fields.
Expected result: HTTP 201 response and ""ok: true"" in response body.","2078","Should return 201 when creating a courier with valid required fields","","2025-09-22","passed","2025-09-22","","ru.yandex.practicum.CreatingACourierTest","ru.yandex.practicum.CreatingACourierTest","createCourierWithValidRequiredFieldsShouldReturn201"
